,algorithm_name,env_n,estates_n,solution_found
188,ldfs-02.0,8,1063,True
189,ldfs-02.0,9,939,True
190,ldfs-02.0,10,1190,True
191,ldfs-02.0,11,4127,True
192,ldfs-02.0,12,5429,False
193,ldfs-02.0,13,8775,False
194,ldfs-02.0,14,7464,False
195,ldfs-02.0,15,3301,True
196,ldfs-02.0,16,9317,True
197,ldfs-02.0,17,1302,True
198,ldfs-02.0,18,1668,True
199,ldfs-02.0,19,4652,True
200,ldfs-02.0,20,2562,True
201,ldfs-02.0,21,9070,True
202,ldfs-02.0,22,8003,True
203,ldfs-02.0,23,10694,False
204,ldfs-02.0,24,6263,False
205,ldfs-02.0,25,3827,True
206,ldfs-02.0,26,3040,False
207,ldfs-02.0,27,1428,True
208,ldfs-02.0,28,8268,True
209,ldfs-02.0,29,6836,False
210,ldfs-04.0,0,5874,True
211,ldfs-04.0,1,6278,True
212,ldfs-04.0,2,10454,True
213,ldfs-04.0,3,8418,False
214,ldfs-04.0,4,847,True
215,ldfs-04.0,5,452,True
216,ldfs-04.0,6,3722,True
217,ldfs-04.0,7,993,True
218,ldfs-04.0,8,1197,True
219,ldfs-04.0,9,583,True
220,ldfs-04.0,10,2548,True
221,ldfs-04.0,11,3651,True
222,ldfs-04.0,12,6881,False
223,ldfs-04.0,13,12481,False
224,ldfs-04.0,14,9353,False
225,ldfs-04.0,15,2336,True
226,ldfs-04.0,16,7811,True
227,ldfs-04.0,17,2266,True
228,ldfs-04.0,18,1050,True
229,ldfs-04.0,19,4511,True
230,ldfs-04.0,20,2819,True
231,ldfs-04.0,21,8473,True
232,ldfs-04.0,22,9997,True
233,ldfs-04.0,23,13327,False
234,ldfs-04.0,24,6269,False
235,ldfs-04.0,25,11232,True
236,ldfs-04.0,26,3276,False
237,ldfs-04.0,27,1628,True
238,ldfs-04.0,28,8011,True
239,ldfs-04.0,29,5081,True
240,ldfs-16.0,0,4168,True
241,ldfs-16.0,1,5372,True
242,ldfs-16.0,2,11711,True
243,ldfs-16.0,3,10806,False
244,ldfs-16.0,4,793,True
245,ldfs-16.0,5,452,True
246,ldfs-16.0,6,2866,True
247,ldfs-16.0,7,693,True
248,ldfs-16.0,8,1312,True
249,ldfs-16.0,9,583,True
250,ldfs-16.0,10,1711,True
251,ldfs-16.0,11,2687,True
252,ldfs-16.0,12,12350,False
253,ldfs-16.0,13,15456,False
254,ldfs-16.0,14,10403,False
255,ldfs-16.0,15,2102,True
256,ldfs-16.0,16,5359,True
257,ldfs-16.0,17,1408,True
258,ldfs-16.0,18,1591,True
259,ldfs-16.0,19,4404,True
260,ldfs-16.0,20,1346,True
261,ldfs-16.0,21,3624,True
262,ldfs-16.0,22,9414,True
263,ldfs-16.0,23,13215,False
264,ldfs-16.0,24,9680,False
265,ldfs-16.0,25,4339,True
266,ldfs-16.0,26,8946,False
267,ldfs-16.0,27,1934,True
268,ldfs-16.0,28,5104,True
269,ldfs-16.0,29,4376,True
270,random,0,10000,False
271,random,1,10000,False
272,random,2,10000,False
273,random,3,280,True
274,random,4,10000,False
275,random,5,10000,False
276,random,6,10000,False
277,random,7,10000,False
